Canton;Population;Spring holidays;;Summer holidays;;Fall holidays;;;;;;;
Aargau;663.500;4/12/21;4/23/21;7/19/21;7/19/21;10/4/21;10/15/21;;;;;;
Ausserrhoden;55.000;4/12/21;23/04/2021;7/12/21;8/13/21;10/11/21;10/22/21;;;;;;
Basel-Land;285.600;3/27/21;4/11/21;7/3/21;8/15/21;10/2/21;10/17/21;;;;;;
Graub端nden;197.600;4/19/21;4/30/21;7/1/21;8/15/21;10/11/21;10/22/21;;;;;;
Uri;36.100;5/1/21;5/16/21;7/3/21;8/15/21;10/2/21;10/17/21;;;;;;
Innerrhoden;16.000;4/10/21;4/25/21;7/3/21;8/15/21;10/9/21;10/24/21;;;;;;
Basel-Stadt;193.100;3/27/21;4/10/21;7/3/21;8/14/21;10/2/21;10/16/21;;;;;;
Bern;1.026.500;4/10/21;4/25/21;7/3/21;8/15/21;9/25/21;10/17/21;;;;;;
Freiburg;311.900;4/2/21;4/16/21;7/12/21;8/25/21;10/18/21;10/29/21;;;;;;
Genf;489.500;4/1/21;4/9/21;7/5/21;8/29/21;10/25/21;9/29/22;;;;;;
Glarus;40.100;4/2/21;4/18/21;7/3/21;8/15/21;10/9/21;10/24/21;;;;;;
Jura;73.100;4/2/21;4/16/21;7/5/21;8/13/21;10/11/21;10/22/21;;;;;;
Luzern;403.400;4/2/21;4/18/21;7/10/21;8/22/21;10/2/21;10/17/21;;;;;;
Neuenburg;178.600;4/2/21;4/16/21;7/5/21;8/13/21;10/4/21;10/15/21;;;;;;
Nidwalden;42.600;4/2/21;4/18/21;7/10/21;8/29/21;10/2/21;10/17/21;;;;;;
Obwalden;37.400;4/2/21;4/18/21;7/3/21;8/15/21;10/2/21;10/24/21;;;;;;
Schaffhausen;80.800;4/17/21;5/2/21;7/10/21;8/15/21;10/2/21;10/24/21;;;;;;
Schwyz;155.900;5/3/21;5/14/21;7/12/21;8/20/21;10/4/21;10/15/21;;;;;;
Solothurn;269.400;4/12/21;4/23/21;7/12/21;8/13/21;10/4/21;10/22/21;;;;;;
Tessin;354.400;4/2/21;4/11/21;6/19/21;8/29/21;10/30/21;11/7/21;;;;;;
Thurgau;270.700;4/2/21;4/18/21;7/12/21;8/15/21;10/11/21;10/24/21;;;;;;
Waadt;784.800;4/2/21;4/18/21;7/3/21;8/22/21;10/16/21;10/31/21;;;;;;
Wallis;339.200;5/10/21;5/14/21;6/28/21;8/13/21;10/11/21;10/22/21;;;;;;
Zug;123.900;4/17/21;5/2/21;7/3/21;8/15/21;10/2/21;10/17/21;;;;;;
Z端rich;1.488.000;4/26/21;5/8/21;7/19/21;8/21/21;10/11/21;10/23/21;;;;;;
Aargau;663.500;4/11/22;4/22/22;7/18/22;7/18/22;10/3/22;10/14/22;;;;;;
Ausserrhoden;55.000;4/11/22;4/22/22;7/11/22;8/12/22;10/10/22;10/21/22;;;;;;
Basel-Land;285.600;3/26/22;4/10/22;7/2/22;8/14/22;10/1/22;10/16/22;;;;;;
Graub端nden;197.600;4/18/22;4/29/22;6/30/22;8/14/22;10/10/22;10/21/22;;;;;;
Uri;36.100;4/30/22;5/15/22;7/2/22;8/14/22;10/1/22;10/16/22;;;;;;
Innerrhoden;16.000;4/9/22;4/24/22;7/2/22;8/14/22;10/8/22;10/23/22;;;;;;
Basel-Stadt;193.100;3/26/22;4/9/22;7/2/22;8/13/22;10/1/22;10/15/22;;;;;;
Bern;1.026.500;4/9/22;4/24/22;7/2/22;8/14/22;9/24/22;10/16/22;;;;;;
Freiburg;311.900;4/1/22;4/15/22;7/11/22;8/24/22;10/17/22;10/28/22;;;;;;
Genf;489.500;3/31/22;4/8/22;7/4/22;8/28/22;10/24/22;9/28/23;;;;;;
Glarus;40.100;4/1/22;4/17/22;7/2/22;8/14/22;10/8/22;10/23/22;;;;;;
Jura;73.100;4/1/22;4/15/22;7/4/22;8/12/22;10/10/22;10/21/22;;;;;;
Luzern;403.400;4/1/22;4/17/22;7/9/22;8/21/22;10/1/22;10/16/22;;;;;;
Neuenburg;178.600;4/1/22;4/15/22;7/4/22;8/12/22;10/3/22;10/14/22;;;;;;
Nidwalden;42.600;4/1/22;4/17/22;7/9/22;8/28/22;10/1/22;10/16/22;;;;;;
Obwalden;37.400;4/1/22;4/17/22;7/2/22;8/14/22;10/1/22;10/23/22;;;;;;
Schaffhausen;80.800;4/16/22;5/1/22;7/9/22;8/14/22;10/1/22;10/23/22;;;;;;
Schwyz;155.900;5/2/22;5/13/22;7/11/22;8/19/22;10/3/22;10/14/22;;;;;;
Solothurn;269.400;4/11/22;4/22/22;7/11/22;8/12/22;10/3/22;10/21/22;;;;;;
Tessin;354.400;4/1/22;4/10/22;6/18/22;8/28/22;10/29/22;11/6/22;;;;;;
Thurgau;270.700;4/1/22;4/17/22;7/11/22;8/14/22;10/10/22;10/23/22;;;;;;
Waadt;784.800;4/1/22;4/17/23;7/2/22;8/21/22;10/15/22;10/30/22;;;;;;
Wallis;339.200;5/9/22;5/13/22;6/27/22;8/12/22;10/10/22;10/21/22;;;;;;
Zug;123.900;4/16/22;5/1/22;7/2/22;8/14/22;10/1/22;10/16/22;;;;;;
Z端rich;1.488.000;4/25/22;5/7/22;7/18/22;8/20/22;10/10/22;10/22/22;;;;;;